tweet_id,retweets,favorites
892420643555336193,7962,37195
892177421306343426,5910,31987
891815181378084864,3908,24089
891689557279858688,8114,40506
891327558926688256,8798,38736
891087950875897856,2925,19473
890971913173991426,1942,11361
890729181411237888,17738,62745
890609185150312448,4026,26786
890240255349198849,6930,30680
890006608113172480,6888,29517
889880896479866881,4691,26768
889665388333682689,9437,46219
889638837579907072,4232,26062
889531135344209921,2120,14541
889278841981685760,5036,24265
888917238123831296,4233,28004
888804989199671297,4003,24593
888554962724278272,3312,19036
888078434458587136,3269,20919
887705289381826560,5059,29038
887517139158093824,11029,44548
887473957103951883,16955,66246
887343217045368832,9826,32387
887101392804085760,5606,29397
886983233522544640,7225,33728
886736880519319552,3049,11562
886680336477933568,4189,21566
886366144734445568,2999,20346
886267009285017600,4,115
886258384151887873,5938,26907
886054160059072513,104,0
885984800019947520,6350,31360
885528943205470208,6023,34591
885518971528720385,3509,19670
885311592912609280,17432,0
885167619883638784,4118,21058
884925521741709313,17060,74390
884876753390489601,5270,26830
884562892145688576,4433,23367
884441805382717440,5347,26005
884247878851493888,19132,70072
884162670584377345,2807,19592
883838122936631299,3253,21015
883482846933004288,9320,44158
883360690899218434,3488,21812
883117836046086144,6262,35726
882992080364220416,3680,22995
882762694511734784,4611,27202
882627270321602560,5714,26862
882268110199369728,10908,43194
882045870035918850,4613,28211
881906580714921986,3205,23389
881666595344535552,10048,48729
881633300179243008,7,122
881536004380872706,15027,47558
881268444196462592,4936,22282
880935762899988482,2630,16387
880872448815771648,3597,20477
880465832366813184,5879,27436
880221127280381952,3968,25979
880095782870896641,4088,26586
879862464715927552,3289,21508
879674319642796034,10,302
879492040517615616,3000,22581
879415818425184262,41843,101907
879376492567855104,2942,16189
879130579576475649,6428,0
879050749262655488,4417,21697
879008229531029506,2540,18262
878776093423087618,3875,18670
878604707211726852,6733,29071
878404777348136964,1222,0
878316110768087041,6301,0
878281511006478336,1222,7438
878057613040115712,6428,40519
877736472329191424,17968,76688
877611172832227328,77,0
877556246731214848,3603,21874
877316821321428993,4891,26375
877201837425926144,5279,26131
876838120628539392,3156,19965
876537666061221889,4412,22733
876484053909872640,2257,18082
876120275196170240,4422,26931
875747767867523072,4039,24261
875144289856114688,4665,21153
875097192612077568,5751,26455
875021211251597312,4473,24568
874680097055178752,4393,26846
874434818259525634,13827,0
874296783580663808,3900,25121
874057562936811520,3758,21914
874012996292530176,9778,33293
873580283840344065,3733,23379
873337748698140672,1511,0
873213775632977920,1511,6956
872967104147763200,5137,26364
872820683541237760,3528,14231
872620804844003328,3481,20070
872486979161796608,8584,39371
872122724285648897,7724,33261
